Area,Beds,Baths,Toilets,Price
Abule-Egba,0,0,0,"45,000,000"
Abule-Egba,8,0,7,"20,000,000"
Abule-Egba,3,4,3,"12,000,000"
Abule-Egba,0,0,0,"55,000,000"
Abule-Egba,0,0,0,"45,000,000"
Abule-Egba,0,0,0,"22,000,000"
Abule-Egba,0,0,0,"25,000,000"
Abule-Egba,0,0,0,"45,000,000"
Abule-Egba,3,3,4,"18,500,000"
Abule-Egba,3,3,3,"38,000,000"
Abule-Egba,3,3,2,"17,000,000"
Abule-Egba,2,2,2,"65,000,000"
Abule-Egba,3,3,4,"40,000,000"
Abule-Egba,0,2,2,"35,000,000"
Abule-Egba,0,0,0,"55,000,000"
Abule-Egba,0,0,0,"25,000,000"
Abule-Egba,0,0,0,"45,000,000"
Abule-Egba,0,0,0,"35,000,000"
Abule-Egba,0,0,0,"150,000,000"
Abule-Egba,0,0,0,"75,000,000"
Abule-Egba,0,0,0,"300,000,000"
Abule-Egba,0,0,0,"37,000,000"
Abule-Egba,8,7,7,"60,000,000"
Abule-Egba,7,8,8,"40,000,000"
Abule-Egba,0,0,0,"27,000,000"
Abule-Egba,0,0,0,"45,000,000"
Abule-Egba,0,0,0,"280,000,000"
Abule-Egba,3,3,3,"22,000,000"
Abule-Egba,3,3,4,"40,000,000"
Abule-Egba,0,0,0,"400,000,000"
Abule-Egba,0,0,0,"50,000,000"
Abule-Egba,0,0,0,"22,000,000"
Abule-Egba,0,0,0,"350,000,000"
Abule-Egba,3,3,4,"23,000,000"
Abule-Egba,6,6,7,"2,200,000,000"
Abule-Egba,0,0,0,"6,000,000"
Abule-Egba,0,0,0,"7,000,000"
Abule-Egba,4,5,5,"80,000,000"
Abule-Egba,0,0,0,"40,000,000"
Abule-Egba,0,0,0,"3,500,000"
Abule-Egba,0,0,0,"70,000,000"
Abule-Egba,0,0,0,"25,000,000"
Abule-Egba,8,0,0,"40,000,000"
Abule-Egba,0,0,0,"3,500,000/sqm"
Abule-Egba,1,1,1,"40,000,000"
Abule-Egba,0,0,0,"65,000,000"
Abule-Egba,4,0,0,"18,000,000"
Abule-Egba,0,0,0,"28,000,000"
Abule-Egba,6,6,6,"20,000,000"
Abule-Egba,0,0,0,"350,000,000"
Abule-Egba,6,8,8,"14,000,000/day"
Abule-Egba,3,4,4,"40,000,000"
Abule-Egba,3,4,4,"38,000,000"
Abule-Egba,2,3,3,"37,000,000"
Abule-Egba,7,8,8,"28,000,000/day"
Abule-Egba,7,7,8,"3,500,000"
Abule-Egba,8,9,9,"16,000,000/day"
Abule-Egba,5,7,7,"25,000,000/day"
Abule-Egba,4,5,5,"70,000,000/day"
Abule-Egba,6,8,8,"38,000,000/day"
Abule-Egba,0,0,0,"7,000,000,000"
Abule-Egba,0,0,0,"11,000,000"
Abule-Egba,0,0,0,"6,500,000"
Abule-Egba,0,0,0,"10,000,000"
Abule-Egba,0,0,0,"5,500,000"
Abule-Egba,4,5,5,"25,000,000"
Abule-Egba,0,0,0,"25,000,000"
Abule-Egba,0,0,0,"35,000,000"
Abule-Egba,0,0,0,"25,000,000"
Abule-Egba,0,0,0,"100,000,000"
Abule-Egba,0,0,0,"300,000,000"
Abule-Egba,0,0,0,"3,600,000"
Abule-Egba,0,0,0,"15,000,000"
Abule-Egba,0,0,0,"22,000,000"
Abule-Egba,0,0,0,"27,500,000"
Abule-Egba,5,6,6,"150,000,000/day"
Abule-Egba,0,0,0,"2,700,000,000"
Abule-Egba,4,5,5,"60,000,000"
Abule-Egba,3,4,4,"18,000,000"
Abule-Egba,6,7,7,"32,000,000"
Abule-Egba,1,1,1,"45,000,000"
Abule-Egba,4,5,5,"48,000,000"
Abule-Egba,3,4,4,"7,500,000"
Abule-Egba,3,4,4,"25,000,000/day"
Abule-Egba,3,3,4,"16,000,000"
Abule-Egba,7,7,7,"50,000,000"
Abule-Egba,0,0,0,"6,500,000"
Abule-Egba,3,3,0,"55,000,000"
Abule-Egba,5,6,6,"75,000,000"
Abule-Egba,7,7,9,"60,000,000"
